class,number,section,time,room,prof,enrollment
 ECON 110B - Principles of Economics ,1946,"002-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","WALTER LIGHT RM205
WALTER LIGHT RM205
WALTER LIGHT RM205","Cromb,Ian James
Cromb,Ian James
Cromb,Ian James",151
 ECON 232 - The Diffusion of Modern Economic Growth ,1970,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINGSTON RM201
KINGSTON RM201","Keay,Ian
Keay,Ian",152
 ECON 361 - Income Distribution and Problems of Inequality ,1981,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACDONALD RM4
MACDONALD RM4","Rosé,David
Rosé,David",51
 ECON 425 - international Trade Theory and Policy ,1974,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACDONALD RM2
MACDONALD RM2","Lapham,Beverly Jean
Lapham,Beverly Jean",66
 ECON 443 - Issues in Microeconomic Policy ,1983,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACINTOSH-CORRY RM D216
MACINTOSH-CORRY RM D216","Garvie,Devon Anne
Garvie,Devon Anne",10
 ECON 891 - Environmental Economics ,5657,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","MACINTOSH-CORRY RM D216
MACINTOSH-CORRY RM D216","Garvie,Devon Anne
Garvie,Devon Anne",10
 ELEC 274 - Computer Architecture ,3579,"006-LAB
Regular","Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214","Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin",47
 ELEC 274 - Computer Architecture ,3581,"008-LAB
Regular","Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214","Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin
Karamat,Tashfeen Bin",49
 ELEC 274 - Computer Architecture ,4650,"009-LAB
Regular","Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212","Athersych,David
Athersych,David
Athersych,David
Athersych,David
Athersych,David
Athersych,David",40
 ELEC 374 - Digital Systems Engineering ,3571,"003-LAB
Regular",Mo 8:30AM - 11:30AM,BEAMISH-MUNRO RM314,"Faraji,Iman",49
 ELEC 443 - Control Systems I ,4986,"005-LAB
Regular",Mo 8:30AM - 11:30AM,BEAMISH-MUNRO RM326,Staff,22
 ENCH 222 - Meth Struct Determination ,2721,"002-TUT
Regular",Mo 8:30AM - 10:00AM,CHERNOFF RM211,Staff,26
 ENCH 245 - Applied Organic Chemistry I ,2726,"002-LAB
Regular",Mo 8:30AM - 11:30AM,CHERNOFF RM118,Staff,61
 ENCH 326 - Environmental&Green Chemistry ,2733,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM225
JEFFERY RM225
JEFFERY RM225","Boyd,Alaina
Boyd,Alaina
Boyd,Alaina",48
 ENGL 271 - Issues and Themes: Special Topics I ,5638,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","KINES & HLTH RM101
KINES & HLTH RM101","Cotton,Adam
Cotton,Adam",63
 ENGL 452 - Topics in Victorian Literature II ,2034,"002-SEM
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","THEOLOGICAL RM209
THEOLOGICAL RM209","Berg,Maggie Anne
Berg,Maggie Anne",25
 ENPH 472 - Statistical Mechanics ,4730,"002-TUT
Regular",Mo 8:30AM - 9:30AM,STIRLING RM412A,"Gooding,Robert James",13
 ENSC 201 - Environmental Toxicology and Chemical Risks ,2047,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM","DUPUIS AUD
DUPUIS AUD","Winn,Louise M
Winn,Louise M",188
