class,number,section,time,room,prof,enrollment
 CURR 387B - Science and Technology (PJ) ,2444,"003-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334","Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M
Lawrence,Diane M",37
 CURR 389 - Art (PJ) ,2448,"001-LEC
Education","Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 12:30PM","DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330","Solar,Angela
Solar,Angela
Solar,Angela
Solar,Angela",40
 CURR 393 - Music (PJ) ,2454,"001-LEC
Education","Tu 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Tu 8:30AM - 10:30AM","DUNCAN MCARTHUR RM B219
DUNCAN MCARTHUR RM B219
DUNCAN MCARTHUR RM B219
DUNCAN MCARTHUR RM B219","Strong,Trevor Owen
Strong,Trevor Owen
Strong,Trevor Owen
Strong,Trevor Owen",40
" DEVS 100B - Canada and the ""Third World"" ",1892,"016-TUT
Regular",Tu 8:30AM - 9:30AM,THEOLOGICAL RM209,Staff,23
 DRAM 400B - Applied Theatre ,2376,"001-PRA
Regular",Tu 8:30AM - 11:30AM,THEOLOGICAL ROT,"Salverson,Julie",34
 ECON 222 - Macroeconomic Theory I ,1950,"002-LEC
Regular","Tu 8:30AM - 10:00AM
Fr 10:00AM - 11:30AM","JEFFERY RM128
JEFFERY RM128","Dolatabadi,Sepideh
Dolatabadi,Sepideh",84
 ECON 351 - Introductory Econometrics ,1957,"001-LEC
Regular","Tu 8:30AM - 10:00AM
Fr 10:00AM - 11:30AM","DUPUIS RM217
DUPUIS RM217","Jaworski,Taylor
Jaworski,Taylor",104
 EDUC 810 - Topics In Literacy Education ,3217,"001-LEC
Regular","Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM","DUNCAN MCARTHUR RM A301N
DUNCAN MCARTHUR RM A301S","Beach,Pamela
Staff",5
 ELEC 210 - Intro Elec Circuits & Machines ,3544,"002-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","KINGSTON RM101
KINGSTON RM101
KINGSTON RM101","Iqbal,Umar
Iqbal,Umar
Iqbal,Umar",115
 ELEC 252 - Electronics I ,4623,"006-LAB
Regular","Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM","BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314","Prakash,Ravi
Prakash,Ravi
Prakash,Ravi
Prakash,Ravi
Prakash,Ravi
Prakash,Ravi",70
